"d4","d6","d8","d10","d12","d20"
4,1,5,8,10,15
4,3,3,4,2,10
4,3,4,1,9,19
2,5,1,2,12,10
3,2,1,2,3,10
3,1,5,3,6,15
2,2,8,8,11,9
1,1,6,10,2,12
4,4,4,7,1,15
3,2,8,6,12,20
4,1,5,1,2,13
3,5,8,5,12,7
2,2,8,9,9,5
3,2,1,1,7,9
2,3,7,6,6,11
4,2,1,6,1,18
3,5,1,8,11,19
4,4,6,1,9,15
3,6,1,5,12,14
1,1,2,9,8,6
1,4,7,8,9,1
2,6,8,6,6,2
4,3,3,8,10,18
4,4,6,8,11,13
2,4,6,3,1,17
3,3,7,3,7,15 
2,1,5,3,7,14
3,5,8,6,3,12
2,1,8,10,6,14
1,3,7,6,8,20
2,4,5,4,3,13
2,6,5,8,11,5
4,6,5,6,11,19
2,6,5,2,9,18
4,2,2,10,2,13
2,1,7,3,3,13
4,3,2,10,7,18
2,2,1,2,5,20
2,1,3,4,2,1
3,2,6,6,12,13
2,3,8,2,12,1
3,1,5,5,7,15
4,1,6,1,11,18
2,4,2,8,8,1
3,4,2,4,6,20
1,6,5,2,4,15
3,6,4,6,1,7
3,4,6,5,10,6
4,2,7,10,3,12
2,3,2,10,2,18
1,3,2,3,11,12
4,6,2,3,6,15
2,1,2,6,9,2
4,2,4,1,2,15
2,1,5,5,5,11
1,5,2,6,9,12
4,5,1,2,11,4
4,5,4,3,5,13
1,1,6,1,7,2
1,1,2,8,3,18
4,2,8,9,5,16
4,3,7,10,7,3
2,5,6,7,9,11
4,5,6,9,4,19
3,1,3,1,8,4
2,4,2,5,1,10
3,2,5,2,6,17
3,5,1,6,5,3
1,2,4,9,9,16
2,2,1,1,6,7
3,2,5,3,10,20
2,6,2,9,5,14
3,1,8,2,7,6
3,3,5,8,1,12
3,2,3,4,1,18
3,5,1,3,5,12
1,2,5,9,12,10
4,6,3,9,12,15
3,1,6,6,10,2
3,3,6,10,8,20
3,4,6,8,1,3
1,2,7,2,8,10
3,5,3,1,9,14
1,4,1,9,2,5
4,2,2,8,1,6
1,5,1,6,7,8
1,1,6,3,7,4
4,6,8,5,4,4
3,4,5,3,12,3
3,1,7,5,9,7
1,3,4,0,3,3
1,4,5,5,11,6
3,2,3,5,3,13
1,1,4,6,8,2
4,2,4,4,1,4
4,5,3,8,7,5
2,2,2,1,10,19
1,6,5,6,3,5
4,3,6,1,6,1
2,1,5,6,10,18
